,tag,stmt,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
10,CostOfGoodsSoldPercentageIncreaseDecrease,IS,0.292,29.4,,,,,,0.295,0.312,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SalesRevenueGoodsNetPercentageIncreaseDecrease,IS,1.0,100.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ResearchAndDevelopmentInProcess,IS,,,0.0,,,,,,,,,,429000000.0,679000000.0,59000000.0,64000000.0,0.0,178000000.0,294000000.0,18000000.0,4000000.0,0.0,156000000.0,0.0,0.0,10000000.0,214000000.0,,29000000.0,0.0,29000000.0,,0.0,0.0,408000000.0,,,1126000000.0,1126000000.0,890000000.0,890000000.0,0.0,890000000.0,0.0,6000000.0,138000000.0,181000000.0,,0.0,900000000.0,900000000.0,610000000.0,610000000.0,0.0,783000000.0,49000000.0,,,,,
13,CostOfGoodsSold,IS,,,18447000000.0,4528000000.0,4630000000.0,4594000000.0,18792000000.0,,,,20360000000.0,4915000000.0,5143000000.0,5597000000.0,21658000000.0,5554000000.0,5489000000.0,5344000000.0,22342000000.0,5455000000.0,6039000000.0,5399000000.0,22746000000.0,5282000000.0,5357000000.0,5224000000.0,21536000000.0,5329000000.0,5336000000.0,5486000000.0,21685000000.0,5386000000.0,5823000000.0,6902000000.0,25354000000.0,6614000000.0,6927000000.0,,27091000000.0,,,,,,,,,,,,,,,,,,,,,,
14,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IS,,,15755000000.0,6280000000.0,4220000000.0,4219000000.0,2228000000.0,,,,318000000.0,5045000000.0,2035000000.0,3595000000.0,3100000000.0,4261000000.0,4793000000.0,3667000000.0,2750000000.0,5424000000.0,5626000000.0,6810000000.0,2703000000.0,5575000000.0,5741000000.0,4122000000.0,3758000000.0,5294000000.0,4904000000.0,5281000000.0,4324000000.0,5575000000.0,4748000000.0,4790000000.0,2560000000.0,5481000000.0,4973000000.0,4423000000.0,3122000000.0,4422000000.0,7041000000.0,1647000000.0,4218000000.0,6509000000.0,3940000000.0,4401000000.0,16497000000.0,7429000000.0,6662000000.0,,,,,,,,,,,,
15,OtherNonoperatingIncomeExpense,IS,,,526000000.0,1594000000.0,18000000.0,292000000.0,768000000.0,,,,-2743000000.0,611000000.0,-2008000000.0,90000000.0,-1626000000.0,-515000000.0,-172000000.0,-943000000.0,-2498000000.0,-86000000.0,-226000000.0,1345000000.0,70000000.0,348000000.0,931000000.0,-420000000.0,2064000000.0,39000000.0,-557000000.0,54000000.0,-484000000.0,160000000.0,-588000000.0,236000000.0,-183000000.0,-60000000.0,-364000000.0,-3000000.0,-1405000000.0,22000000.0,1683000000.0,-4214000000.0,-2525000000.0,679000000.0,-24000000.0,-1200000000.0,-2899000000.0,882000000.0,488000000.0,-1850000000.0,-489000000.0,102000000.0,-273000000.0,-493000000.0,-1871000000.0,-7228000000.0,60000000.0,-499000000.0,-6634000000.0,-2404000000.0,-653000000.0
16,GrossProfit,IS,,,43450000000.0,11103000000.0,10700000000.0,10388000000.0,10604000000.0,,,,10917000000.0,11224000000.0,11332000000.0,11455000000.0,11555000000.0,11951000000.0,12388000000.0,12231000000.0,12400000000.0,12660000000.0,13456000000.0,13068000000.0,12401000000.0,12092000000.0,12430000000.0,11878000000.0,12138000000.0,12153000000.0,13146000000.0,12334000000.0,12572000000.0,12380000000.0,13016000000.0,12748000000.0,12952000000.0,13395000000.0,13903000000.0,13759000000.0,13433000000.0,13406000000.0,13622000000.0,13862000000.0,13613000000.0,13629000000.0,11757000000.0,14110000000.0,54157000000.0,15258000000.0,15725000000.0,16088000000.0,63920000000.0,15828000000.0,16101000000.0,15984000000.0,63854000000.0,16351000000.0,17318000000.0,14745000000.0,14597000000.0,14872000000.0,15578000000.0
17,WeightedAverageNumberOfSharesOutstandingBasic,IS,,,2759500000.0,2755400000.0,2756600000.0,2751600000.0,2751400000.0,,,,2736000000.0,2736900000.0,2747400000.0,2757400000.0,2753300000.0,2790200000.0,2809700000.0,2818400000.0,2809200000.0,2826800000.0,2826400000.0,2814400000.0,2815200000.0,2782600000.0,2772300000.0,2768400000.0,2771800000.0,2757200000.0,2745400000.0,2731600000.0,2737300000.0,2706600000.0,2691900000.0,2684600000.0,2692000000.0,2682200000.0,2682300000.0,2683200000.0,2681500000.0,2660800000.0,2652500000.0,2635200000.0,2645100000.0,2633700000.0,2632900000.0,2632500000.0,2632800000.0,2631600000.0,2632500000.0,2632600000.0,2632100000.0,2629200000.0,2629600000.0,2627900000.0,2625200000.0,2605500000.0,2598400000.0,2522900000.0,2533500000.0,2408200000.0,2406800000.0
18,RestructuringCharges,IS,,,1073000000.0,,,,,,,,656000000.0,,0.0,0.0,0.0,,,,0.0,,,,,,,,509000000.0,120000000.0,114000000.0,62000000.0,491000000.0,85000000.0,11000000.0,69000000.0,309000000.0,42000000.0,57000000.0,88000000.0,227000000.0,36000000.0,57000000.0,69000000.0,251000000.0,58000000.0,61000000.0,68000000.0,247000000.0,53000000.0,56000000.0,60000000.0,252000000.0,70000000.0,85000000.0,82000000.0,321000000.0,130000000.0,145000000.0,158000000.0,489000000.0,164000000.0,-13000000.0
19,InvestmentIncomeInterest,IS,,,90000000.0,27000000.0,-43000000.0,13000000.0,107000000.0,,,,91000000.0,17000000.0,14000000.0,15000000.0,64000000.0,21000000.0,17000000.0,18000000.0,74000000.0,18000000.0,14000000.0,18000000.0,67000000.0,19000000.0,24000000.0,32000000.0,128000000.0,83000000.0,88000000.0,97000000.0,368000000.0,121000000.0,105000000.0,74000000.0,385000000.0,114000000.0,126000000.0,175000000.0,611000000.0,99000000.0,88000000.0,89000000.0,357000000.0,67000000.0,19000000.0,12000000.0,111000000.0,15000000.0,12000000.0,13000000.0,53000000.0,22000000.0,64000000.0,150000000.0,490000000.0,235000000.0,369000000.0,374000000.0,1261000000.0,364000000.0,395000000.0
20,WeightedAverageNumberOfDilutedSharesOutstanding,IS,,,2789100000.0,2797300000.0,2796000000.0,2786400000.0,2788800000.0,,,,2775300000.0,2774900000.0,2798200000.0,2818100000.0,2812600000.0,2858800000.0,2893000000.0,2881200000.0,2877000000.0,2874700000.0,2874200000.0,2864300000.0,2863900000.0,2826000000.0,2812000000.0,2807200000.0,2812900000.0,2795400000.0,2794200000.0,2785400000.0,2788900000.0,2754500000.0,2741500000.0,2737700000.0,2745300000.0,2731900000.0,2721300000.0,2727600000.0,2728700000.0,2698800000.0,2691700000.0,2669900000.0,2684300000.0,2671000000.0,2665500000.0,2669300000.0,2670700000.0,2672700000.0,2671600000.0,2674900000.0,2674000000.0,2666500000.0,2667900000.0,2661300000.0,2663900000.0,2605500000.0,2625700000.0,2549700000.0,2560400000.0,2430100000.0,2422000000.0
21,InterestExpense,IS,,,451000000.0,108000000.0,101000000.0,108000000.0,455000000.0,,,,571000000.0,147000000.0,143000000.0,135000000.0,532000000.0,125000000.0,118000000.0,105000000.0,482000000.0,136000000.0,128000000.0,130000000.0,533000000.0,138000000.0,131000000.0,123000000.0,552000000.0,160000000.0,190000000.0,192000000.0,726000000.0,204000000.0,227000000.0,229000000.0,934000000.0,259000000.0,253000000.0,243000000.0,1005000000.0,102000000.0,83000000.0,48000000.0,318000000.0,25000000.0,45000000.0,44000000.0,201000000.0,63000000.0,40000000.0,20000000.0,183000000.0,10000000.0,38000000.0,51000000.0,276000000.0,215000000.0,346000000.0,192000000.0,772000000.0,155000000.0,
22,CommonStockDividendsPerShareCashPaid,IS,,,1.93,0.49,0.54,0.54,2.11,,,,2.25,0.57,0.61,0.61,2.4,0.61,0.66,0.66,2.59,0.66,0.7,0.7,2.76,0.7,0.75,0.75,2.95,0.75,0.8,0.8,3.15,0.8,0.84,0.84,3.32,0.84,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,
23,SellingGeneralAndAdministrativeExpense,IS,,,19801000000.0,4779000000.0,4756000000.0,4709000000.0,19424000000.0,,,,20969000000.0,5015000000.0,4965000000.0,5228000000.0,20869000000.0,5223000000.0,5376000000.0,5314000000.0,21830000000.0,5183000000.0,5481000000.0,5468000000.0,21954000000.0,4847000000.0,5384000000.0,5081000000.0,21203000000.0,4688000000.0,5176000000.0,4772000000.0,19945000000.0,4737000000.0,5262000000.0,5396000000.0,21420000000.0,5263000000.0,5743000000.0,5543000000.0,22540000000.0,5219000000.0,5546000000.0,5374000000.0,22178000000.0,5203000000.0,4993000000.0,5431000000.0,22084000000.0,5432000000.0,6073000000.0,6000000000.0,24659000000.0,5938000000.0,6226000000.0,6089000000.0,24765000000.0,6138000000.0,6665000000.0,5400000000.0,21512000000.0,5257000000.0,5681000000.0
24,IncomeTaxExpenseBenefit,IS,,,3489000000.0,1754000000.0,771000000.0,802000000.0,3613000000.0,,,,2689000000.0,1135000000.0,627000000.0,966000000.0,3261000000.0,764000000.0,960000000.0,685000000.0,1640000000.0,697000000.0,1300000000.0,2061000000.0,4240000000.0,1255000000.0,1225000000.0,764000000.0,3787000000.0,1002000000.0,907000000.0,1009000000.0,3263000000.0,1153000000.0,921000000.0,1026000000.0,16373000000.0,1114000000.0,1019000000.0,489000000.0,2702000000.0,673000000.0,1434000000.0,-106000000.0,2209000000.0,713000000.0,314000000.0,847000000.0,1783000000.0,1232000000.0,384000000.0,182000000.0,1898000000.0,713000000.0,1026000000.0,1364000000.0,3784000000.0,-669000000.0,1618000000.0,908000000.0,1736000000.0,459000000.0,1062000000.0
25,ProfitLoss,IS,,,12266000000.0,4526000000.0,3449000000.0,3417000000.0,13334000000.0,,,,9672000000.0,3910000000.0,1408000000.0,2629000000.0,10514000000.0,,,2982000000.0,13831000000.0,,,,16323000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EarningsPerShareBasic,IS,,,4.45,1.64,1.25,1.24,0.71,,,,0.08,1.43,0.51,1.08,0.93,1.25,1.36,1.06,1.25,1.67,1.53,1.69,0.9,1.55,1.63,1.21,1.16,1.56,1.46,1.56,1.41,1.63,1.42,1.4,-3.99,1.63,1.47,1.47,1.14,1.41,2.11,0.67,1.52,2.2,1.38,1.35,5.59,2.35,2.38,1.39,7.93,1.96,1.83,1.7,6.83,-0.03,1.98,10.32,1.68,1.35,1.95
27,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,IS,,,6986000000.0,1557000000.0,1648000000.0,1657000000.0,6844000000.0,,,,7548000000.0,1645000000.0,1766000000.0,1923000000.0,7665000000.0,1784000000.0,1946000000.0,2042000000.0,8183000000.0,1831000000.0,2005000000.0,2023000000.0,8494000000.0,1899000000.0,2129000000.0,2154000000.0,9046000000.0,2013000000.0,2264000000.0,2178000000.0,9095000000.0,2060000000.0,2285000000.0,2574000000.0,10554000000.0,2404000000.0,2639000000.0,2508000000.0,10775000000.0,2858000000.0,2666000000.0,2599000000.0,11355000000.0,2580000000.0,2707000000.0,2840000000.0,12159000000.0,3178000000.0,3394000000.0,3422000000.0,14714000000.0,3462000000.0,3703000000.0,3597000000.0,14603000000.0,3563000000.0,3829000000.0,3447000000.0,15085000000.0,3542000000.0,3440000000.0
28,SalesRevenueGoodsNet,IS,,,61897000000.0,15631000000.0,15330000000.0,14982000000.0,15644000000.0,,,,16255000000.0,16139000000.0,16475000000.0,17052000000.0,17558000000.0,17505000000.0,17877000000.0,17575000000.0,18355000000.0,18115000000.0,19495000000.0,18467000000.0,18254000000.0,17374000000.0,17787000000.0,17102000000.0,17811000000.0,17482000000.0,18482000000.0,17820000000.0,18106000000.0,17766000000.0,18839000000.0,19650000000.0,20195000000.0,20009000000.0,20830000000.0,,,,,,,,,,,,,,,,,,,,,,,,
29,EarningsPerShareDiluted,IS,,,4.4,1.62,1.23,1.23,0.7,,,,0.08,1.41,0.5,1.05,0.91,1.22,1.33,1.04,1.23,1.64,1.51,1.66,0.89,1.53,1.61,1.2,1.15,1.54,1.43,1.53,1.38,1.61,1.4,1.37,-3.99,1.6,1.45,1.44,1.12,1.39,2.08,0.66,1.5,2.17,1.36,1.33,5.51,2.32,2.35,1.37,7.81,1.93,1.8,1.68,6.73,-0.03,1.96,10.21,1.67,1.34,1.93
30,RestructuringExpensesIncreaseDecrease,IS,,,,,,,,,0.035,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GrossProfitPercentToSales,IS,,,,,,,,,,,,0.696,0.688,0.672,,0.683,0.693,0.696,,0.699,0.69,0.708,,0.696,0.699,0.695,,0.695,0.711,0.692,,0.697,0.691,0.649,,,0.667,0.676,,0.67,0.662,0.669,,0.659,0.641,0.669,,0.683,0.675,0.689,,0.676,0.67,0.672,,0.661,0.678,0.691,,0.696,0.694
32,SellingGeneralAndAdministrativeExpensePercentToSales,IS,,,,,,,,,,,,0.311,0.301,0.306,,0.298,0.301,0.302,,0.286,0.281,0.296,,0.279,0.303,0.297,,0.268,0.28,0.268,,0.266,0.28,0.275,,,0.275,0.273,,0.261,0.27,0.26,,0.251,0.272,0.258,,0.243,0.261,0.257,,0.254,0.259,0.256,,0.248,0.261,0.253,,0.246,0.253
33,CostOfGoodsSoldPercentToSales,IS,,,,,,,,,,,,0.304,0.312,0.328,,0.317,0.307,0.304,,0.301,0.31,0.292,,0.304,0.301,0.305,,0.305,0.289,0.308,,0.303,0.309,0.351,,,0.333,0.324,,0.33,0.338,0.331,,0.341,0.359,0.331,,0.317,0.325,0.311,,0.324,0.33,0.328,,0.339,0.322,0.309,,0.304,0.306
34,InterestExpensePercentToSales,IS,,,,,,,,,,,,0.009,0.009,0.008,,0.007,0.007,0.006,,0.008,0.007,0.007,,0.008,0.007,0.007,,0.009,0.011,0.01,,0.012,0.012,0.012,,,0.012,0.012,,0.005,0.004,0.002,,0.001,0.003,0.002,,0.003,0.002,0.001,,0.0,0.002,0.002,,0.009,0.014,0.009,,0.007,0.012
35,OtherNonOperatingIncomeExpensePercentToSales,IS,,,,,,,,,,,,0.038,-0.122,0.005,,0.03,0.009,0.054,,0.005,0.011,-0.073,,-0.02,-0.053,0.025,,-0.002,0.03,-0.002,,-0.009,0.031,-0.012,,,0.017,0.0,,-0.001,-0.082,0.203,,-0.033,0.001,0.057,,-0.039,-0.021,0.079,,-0.004,0.011,0.021,,0.292,-0.002,0.023,,0.112,0.029
36,ProfitLossPercentToSales,IS,,,,,,,,,,,,0.242,0.085,0.154,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestmentsPercentToSales,IS,,,,,,,,,,,,0.313,0.124,0.211,,0.243,0.268,0.209,,0.299,0.289,0.369,,0.321,0.323,0.241,,0.303,0.265,0.296,,0.314,0.252,0.244,,,0.239,0.217,,0.221,0.342,0.079,,0.315,0.215,0.209,,0.333,0.286,,,,,,,,,,,,
38,ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCostPercentToSales,IS,,,,,,,,,,,,0.102,0.107,0.113,,0.102,0.109,0.116,,0.101,0.103,0.11,,0.109,0.12,0.126,,0.115,0.122,0.122,,0.116,0.121,0.131,,,0.127,0.123,,0.143,0.13,0.125,,0.125,0.148,0.135,,0.142,0.146,0.147,,0.148,0.154,0.151,,0.144,0.15,0.162,,0.166,0.153
39,SalesRevenueGoodsNetPercentToSales,IS,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0
40,InvestmentIncomeInterestPercentToSales,IS,,,,,,,,,,,,0.001,0.001,0.001,,-0.001,-0.001,-0.001,,-0.001,-0.001,-0.001,,-0.001,-0.001,-0.002,,-0.005,-0.005,-0.005,,-0.007,-0.006,-0.004,,,-0.006,-0.009,,-0.005,-0.004,-0.004,,-0.003,-0.001,-0.001,,-0.001,-0.001,-0.001,,-0.001,-0.003,-0.006,,-0.01,-0.015,-0.017,,-0.017,-0.018
41,IncomeTaxExpenseBenefitPercentToSales,IS,,,,,,,,,,,,0.071,0.039,0.057,,0.043,0.054,0.039,,0.038,0.067,0.112,,0.072,0.069,0.045,,0.057,0.049,0.056,,0.065,0.049,0.052,,,0.049,0.024,,0.034,0.069,-0.006,,0.035,0.017,0.04,,0.055,0.017,0.008,,0.03,0.043,0.058,,-0.027,0.064,0.042,,0.022,0.047
42,RestructuringExpensesPercentToSales,IS,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ResearchAndDevelopmentInProcessPercentToSales,IS,,,,,,,,,,,,,0.026,0.04,,0.004,0.0,0.01,,0.001,0.0,0.0,,0.0,0.0,0.001,,,0.002,0.0,,,0.0,0.0,,,,0.056,,0.044,0.022,0.0,,0.0,0.0,0.006,,,0.0,0.039,,0.026,0.013,0.0,,0.002,0.001,0.01,,0.0,0.009
44,NetIncomeLoss,IS,,,,,,,,,,,,,,2968000000.0,2567000000.0,3497000000.0,3833000000.0,2982000000.0,3519000000.0,4727000000.0,4326000000.0,4749000000.0,2521000000.0,4320000000.0,4516000000.0,3358000000.0,3215000000.0,4292000000.0,3997000000.0,4272000000.0,3814000000.0,4422000000.0,3827000000.0,3764000000.0,-10713000000.0,4367000000.0,3954000000.0,3934000000.0,3042000000.0,3749000000.0,5607000000.0,1753000000.0,4010000000.0,5796000000.0,3626000000.0,3554000000.0,14714000000.0,6197000000.0,6278000000.0,3667000000.0,20878000000.0,5149000000.0,4814000000.0,4458000000.0,17941000000.0,-68000000.0,5144000000.0,26028000000.0,4049000000.0,3255000000.0,4686000000.0
45,NetIncomeLossAttributableToNoncontrollingInterestPercentToSales,IS,,,,,,,,,,,,,,0.02,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NetIncomeLossAttributableToNoncontrollingInterest,IS,,,,,,,,,,,,,,-339000000.0,-339000000.0,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NetIncomeAttributableToParentPercentToSales,IS,,,,,,,,,,,,,,0.174,,0.2,0.214,0.17,,0.261,0.222,0.257,,0.249,0.254,0.196,,0.246,0.216,0.24,,0.249,0.203,0.192,,,0.19,0.193,,0.187,0.273,0.085,,0.28,0.198,0.169,,0.278,0.269,0.157,,0.22,0.2,0.187,,-0.003,0.201,,,,
48,Restructuringchargepercenttosales,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.006,0.003,,0.005,0.001,0.003,,,0.003,0.004,,0.002,0.002,0.004,,0.003,0.003,0.003,,0.002,0.002,0.002,,0.003,0.004,0.003,,0.006,0.005,0.007,,0.008,0.0
49,CostOfGoodsAndServicesSold,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6589000000.0,,6615000000.0,6940000000.0,6867000000.0,27556000000.0,7062000000.0,6579000000.0,6972000000.0,28427000000.0,7063000000.0,7587000000.0,7250000000.0,29855000000.0,7598000000.0,7919000000.0,7807000000.0,31089000000.0,8395000000.0,8212000000.0,6606000000.0,26553000000.0,6511000000.0,6869000000.0
50,RevenueFromContractWithCustomerExcludingAssessedTax,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20348000000.0,20394000000.0,20021000000.0,20562000000.0,20729000000.0,20747000000.0,20691000000.0,18336000000.0,21082000000.0,82584000000.0,22321000000.0,23312000000.0,23338000000.0,93775000000.0,23426000000.0,24020000000.0,23791000000.0,94943000000.0,24746000000.0,25530000000.0,21351000000.0,21395000000.0,21383000000.0,22447000000.0
51,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,20000000.0,,,,,,,,,,,,,,,
52,IncomeLossFromContinuingOperationsBeforeIncomeTaxesNoncontrollingInterestPercentToSales,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,0.25,0.243,0.245,,-0.03,0.265,0.244,,0.174,0.256
53,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3849000000.0,22776000000.0,5862000000.0,5840000000.0,5822000000.0,21725000000.0,-737000000.0,6762000000.0,5217000000.0,4826000000.0,3714000000.0,5748000000.0
54,ResearchAndDevelopmentInProcess1,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49000000.0,206000000.0,313000000.0,0.0,194000000.0
55,IncomeLossFromContinuingOperationsNetOfTaxAttributableToParentPercentOfSales,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202,,0.152,0.209
56,IncomeLossFromContinuingOperationsPerDilutedShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.7,1.34,1.93
57,IncomeLossFromContinuingOperationsPerBasicShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.71,1.35,1.95
58,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61,-0.03,0.0,0.0
59,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21719000000.0,-83000000.0,0.0,0.0
60,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52,-0.03,0.0,0.0
